[ 2016-02-27T00:13:53+08:00 ] /index.php/Admin/User/login | INFO: Tag[ route_check ] --START--
[ 2016-02-27T00:13:53+08:00 ] /index.php/Admin/User/login | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:13:53+08:00 ] /index.php/Admin/User/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-02-27T00:13:53+08:00 ] /index.php/Admin/User/login | INFO: Tag[ app_begin ] --START--
[ 2016-02-27T00:13:53+08:00 ] /index.php/Admin/User/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-02-27T00:13:53+08:00 ] /index.php/Admin/User/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2016-02-27T00:13:53+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_template ] --START--
[ 2016-02-27T00:13:53+08:00 ] /index.php/Admin/User/login | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:13:53+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2016-02-27T00:13:53+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_parse ] --START--
[ 2016-02-27T00:13:53+08:00 ] /index.php/Admin/User/login | INFO: Run ParseTemplate Behavior [ RunTime:0.009001s ]
[ 2016-02-27T00:13:53+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009001s ]
[ 2016-02-27T00:13:53+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_filter ] --START--
[ 2016-02-27T00:13:53+08:00 ] /index.php/Admin/User/login | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:13:53+08:00 ] /index.php/Admin/User/login | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2016-02-27T00:13:53+08:00 ] /index.php/Admin/User/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:13:53+08:00 ] /index.php/Admin/User/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:13:53+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003000s ]
[ 2016-02-27T00:13:53+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_end ] --START--
[ 2016-02-27T00:13:53+08:00 ] /index.php/Admin/User/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2016-02-27T00:13:53+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-02-27T00:14:00+08:00 ] /index.php/Admin/User/verify/0.15881807985715568 | INFO: Tag[ route_check ] --START--
[ 2016-02-27T00:14:00+08:00 ] /index.php/Admin/User/verify/0.15881807985715568 | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-02-27T00:14:00+08:00 ] /index.php/Admin/User/verify/0.15881807985715568 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-02-27T00:14:00+08:00 ] /index.php/Admin/User/verify/0.15881807985715568 | INFO: Tag[ app_begin ] --START--
[ 2016-02-27T00:14:00+08:00 ] /index.php/Admin/User/verify/0.15881807985715568 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-02-27T00:14:00+08:00 ] /index.php/Admin/User/verify/0.15881807985715568 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-02-27T00:14:05+08:00 ] /index.php/Admin/User/login | INFO: Tag[ route_check ] --START--
[ 2016-02-27T00:14:05+08:00 ] /index.php/Admin/User/login | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:14:05+08:00 ] /index.php/Admin/User/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-02-27T00:14:05+08:00 ] /index.php/Admin/User/login | INFO: Tag[ app_begin ] --START--
[ 2016-02-27T00:14:05+08:00 ] /index.php/Admin/User/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:14:05+08:00 ] /index.php/Admin/User/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-02-27T00:14:05+08:00 ] /index.php/Admin/User/login | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.014001s ]
[ 2016-02-27T00:14:05+08:00 ] /index.php/Admin/User/login | SQL: SELECT * FROM `user` WHERE username='admin' LIMIT 1   [ RunTime:0.001000s ]
[ 2016-02-27T00:14:05+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_template ] --START--
