[ 2016-03-01T09:11:44+08:00 ] /index.php/Authority/add | ERR: (ThinkException) 无法加载模块Authority
[ 2016-03-01T09:12:10+08:00 ] /index.php/Admin/Authority/add | INFO: Tag[ route_check ] --START--
[ 2016-03-01T09:12:10+08:00 ] /index.php/Admin/Authority/add | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-03-01T09:12:10+08:00 ] /index.php/Admin/Authority/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-03-01T09:12:10+08:00 ] /index.php/Admin/Authority/add | INFO: Tag[ app_begin ] --START--
[ 2016-03-01T09:12:10+08:00 ] /index.php/Admin/Authority/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-03-01T09:12:10+08:00 ] /index.php/Admin/Authority/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-03-01T09:12:10+08:00 ] /index.php/Admin/Authority/add | SQL: SHOW COLUMNS FROM `authority` [ RunTime:0.008001s ]
[ 2016-03-01T09:12:10+08:00 ] /index.php/Admin/Authority/add | SQL: SELECT * FROM `authority` WHERE pid=0  [ RunTime:0.001000s ]
[ 2016-03-01T09:12:10+08:00 ] /index.php/Admin/Authority/add | INFO: Tag[ view_template ] --START--
[ 2016-03-01T09:12:10+08:00 ] /index.php/Admin/Authority/add | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2016-03-01T09:12:10+08:00 ] /index.php/Admin/Authority/add | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2016-03-01T09:12:10+08:00 ] /index.php/Admin/Authority/add | INFO: Tag[ view_parse ] --START--
[ 2016-03-01T09:12:10+08:00 ] /index.php/Admin/Authority/add | INFO: Run ParseTemplate Behavior [ RunTime:0.012001s ]
[ 2016-03-01T09:12:10+08:00 ] /index.php/Admin/Authority/add | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012001s ]
[ 2016-03-01T09:12:10+08:00 ] /index.php/Admin/Authority/add | INFO: Tag[ view_filter ] --START--
[ 2016-03-01T09:12:10+08:00 ] /index.php/Admin/Authority/add | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-03-01T09:12:10+08:00 ] /index.php/Admin/Authority/add | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-03-01T09:12:10+08:00 ] /index.php/Admin/Authority/add | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-03-01T09:12:10+08:00 ] /index.php/Admin/Authority/add | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-03-01T09:12:10+08:00 ] /index.php/Admin/Authority/add | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003000s ]
[ 2016-03-01T09:12:10+08:00 ] /index.php/Admin/Authority/add | INFO: Tag[ view_end ] --START--
[ 2016-03-01T09:12:10+08:00 ] /index.php/Admin/Authority/add | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
